idArea,nombre_area,descripcion,id_subarea
426,Comercio electr�nico,"Comercio electr�nico tambien conocido como e-commerce, conciste en la compra y venta de productos o servicios a traves de medios electr�nicos tales como internet y otras redes informaticas",
427,Aplicacion de GPS,Aplicacion de GPS (Sistema de posicionamiento global) en dispositivos m�viles,
428,aprendizaje por computadora,"el aprendizaje autom�tico (Machine Learning) es una rama de la inteligencia artificial el cual busca desarrollar t�cnicas que permitan crear programas capaces de procesar y analizar grandes cantidades de datos para posteriormente agruparlas y consolidarlas en porciones pequeias de informacion �til, que permita reconocer y decodificar patrones complejos y predecir tendencias o comportamientos futuros, estos programas deben aprender y mejorar con la experiencia a trav�s el tiempo, refinando sus modelos que son usados para predecir los posibles resultados con el fin de facilitar la toma de decisiones inteligentes basadas en esa informacion.",
429,Vision Artificial,'',
430,Aprendizaje autom�tico,'',
431,Laboratorios virtuales basados en WWW.,'',
432,Base de Datos - Ingenieria de Software,'',
433,Automatizacion de Procesos,'',
434,control de procesos,'',
435,Domotica,'',
436,Sistema en tiempo real y control de procesos,'',
437,Ingenieria de control,'',
438,Programacion en Ginga-NCL,'',
439,Computacion Educativa,'',
440,Telefonia IP,'',
441,sistema de informacion administrativa web,"es un conjunto de elementos orientados al tratamiento y administracion de datos e informacion ,organizados y listos para su uso posterior o un objetivo.
Que formarian parte de algunas de las siguientes partes (personas , actividades, datos. etc), para obtener informacion mas exacta y mas clara al momento de utilizar dicha informacion.
la parte de administrar esta informacion en el area web es que ayude y evite pasos extras al momento de manejo de informacion hace que sea dinamico las busqueadas y otros procedimientos de la misma aplicacion web.
",
442,Aplicacion Intranet ,'',
443,Prueba de intrusion,"Es una pr�ctica para poner a prueba un sistema inform�tico, red o aplicacion web para encontrar vulnerabilidades que un atacante podria explotar.",
444,Encriptacion de datos,Es el proceso mediante el cual cierta informacion o texto sin formato es cifrado de forma que el resultado sea ilegible a menos que se conozca los datos necesarios para su interpretacion.,
445,Programacion Ginga NCL/Lua,Ginga NCL/Lua herramienta desarrollada por la puc de Rio para el desarrollo de aplicaciones interactivas para Television Digital,
446,CSCW,"Computer Supported Coopertive Work CSCW, Trabajo cooperativo asistido por computadora.
CSCW es un T�rmino utilizado para describir cualquier tecnologia que combina recursos de hardware y software para permitir a grupos de personas colaborar y compartir tecnologia.",
447,Visualizacion de datos,La visualizacio&#769;n de datos trata de la creacio&#769;n de meta&#769;foras visuales y el estudio de comunicar la informacio&#769;n de manera ma&#769;s clara y efectiva a trave&#769;s de estas.,
448,Herramienta y m�todos de ingenieria de software,'',
449,Integracion de tecnologias moviles,'',
